kind,name,error,details,parentObject,namespace,reason,explanation
ConfigMap,knative-serving/config-autoscaler,"[{'Text': 'ConfigMap config-autoscaler is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap 'config-autoscaler' is not used by any pods in the namespace.

Solution:

1. Check if the ConfigMap is created correctly.
2. Verify that the pod deployment YAML file references the ConfigMap.
3. Ensure the pod is running and has the correct environment variables set to use the ConfigMap.
4. If using HPA (Horizontal Pod Autoscaler), check if it's referencing the correct ConfigMap.",,N/A,N/A,N/A
ConfigMap,knative-serving/config-certmanager,"[{'Text': 'ConfigMap config-certmanager is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""config-certmanager"" is not used by any pods in the namespace.

Solution:

1. Check if the ConfigMap is referenced in a Deployment or StatefulSet.
2. Verify that the ConfigMap is correctly created and has the expected data.
3. If using a Service, check its spec.template.spec.containers.env section for references to the ConfigMap.
4. If none of the above steps resolve the issue, delete the ConfigMap and recreate it.",,N/A,N/A,N/A
ConfigMap,knative-serving/config-defaults,"[{'Text': 'ConfigMap config-defaults is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""config-defaults"" is not used by any pods in the namespace.

Solution:

1. Check if the ConfigMap is correctly created and exists in the cluster.
2. Verify that the pod configuration references the correct ConfigMap name.
3. If using a Deployment, check if the `spec.template.spec.containers.env` section is referencing the ConfigMap.
4. Run `kubectl get pods -l <selector> -o yaml` to inspect pod configurations.
5. Update or recreate the pod to reference the ConfigMap correctly.",,N/A,N/A,N/A
ConfigMap,knative-serving/config-deployment,"[{'Text': 'ConfigMap config-deployment is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""config-deployment"" is not used by any pods in the namespace.

Solution:

1. Check if the ConfigMap is correctly created and exists in the namespace.
2. Verify that the pod(s) using this ConfigMap are properly configured to reference it.
3. If using a Deployment, ensure the ConfigMap is referenced in the deployment's template.
4. Run `kubectl get pods` and `kubectl describe configmap config-deployment` for more details.",,N/A,N/A,N/A
ConfigMap,knative-serving/config-domain,"[{'Text': 'ConfigMap config-domain is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""config-domain"" is not used by any pods in namespace.

Solution:

1. Check if config-domain ConfigMap exists in current namespace.
2. Verify if pods are referencing correct ConfigMap name and namespace.
3. Update pod configurations to reference the correct ConfigMap.",,N/A,N/A,N/A
ConfigMap,knative-serving/config-features,"[{'Text': 'ConfigMap config-features is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""config-features"" is not used by any pods in the namespace.

Solution:

1. Check if the ConfigMap is referenced in a Deployment or StatefulSet YAML file.
2. Verify that the pod's configuration matches the ConfigMap name and namespace.
3. If using a Deployment, check if the `spec.template.spec.containers.env` section references the ConfigMap.
4. Update the pod's configuration to reference the ConfigMap correctly.",,N/A,N/A,N/A
ConfigMap,knative-serving/config-gc,"[{'Text': 'ConfigMap config-gc is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""config-gc"" is not used by any pods in the namespace.

Solution:

1. Check if config-gc is still required and delete it if unnecessary.
2. Verify that no pod references config-gc in its configuration files.
3. If necessary, recreate the pod or update its configuration to reference a different ConfigMap.",,N/A,N/A,N/A
ConfigMap,knative-serving/config-istio,"[{'Text': 'ConfigMap config-istio is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""config-istio"" is not used by any pods in the namespace.

Solution:

1. Check if the ConfigMap is referenced in a Deployment or StatefulSet.
2. Verify that the ConfigMap name and namespace are correct.
3. If using Istio, check if the config-istio ConfigMap is created automatically.
4. Create a new pod referencing the ConfigMap to test its usage.",,N/A,N/A,N/A
ConfigMap,knative-serving/config-leader-election,"[{'Text': 'ConfigMap config-leader-election is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""config-leader-election"" is not used by any pods in the namespace.

Solution: 
1. Check if the ConfigMap is correctly created and has the correct name.
2. Verify that the pod configuration references the ConfigMap with the correct name.
3. If using a Deployment, check the `spec.template.spec.containers.volumeMounts` section for the ConfigMap reference.",,N/A,N/A,N/A
ConfigMap,knative-serving/config-logging,"[{'Text': 'ConfigMap config-logging is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""config-logging"" is not used by any pods in the namespace.

Solution:

1. Check if the ConfigMap is referenced in a Deployment or Pod YAML file.
2. Verify that the ConfigMap name and namespace match the one being referred to.
3. If using a Deployment, check if the ConfigMap is mounted as a volume.
4. If none of the above steps resolve the issue, try deleting and recreating the ConfigMap.",,N/A,N/A,N/A
