kind,name,error,details,parentObject,namespace,reason,explanation
ConfigMap,monitoring/istio-ca-root-cert,"[{'Text': 'ConfigMap istio-ca-root-cert is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""istio-ca-root-cert"" is not used by any pods in the namespace.

Solution: 
1. Check if the ConfigMap is referenced in a Deployment or StatefulSet.
2. Verify that the ConfigMap name and namespace are correct.
3. If using Istio, check if the istio-ca-root-cert is being injected into pods through an Istio sidecar.",,N/A,N/A,N/A
ConfigMap,monitoring/k8sgpt-overview,"[{'Text': 'ConfigMap k8sgpt-overview is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""k8sgpt-overview"" is not used by any pods in the namespace.

Solution: 
1. Check if the ConfigMap is referenced in a Deployment or Pod YAML file.
2. Verify that the ConfigMap name and namespace are correct.
3. If unused, consider deleting the ConfigMap to avoid clutter.",,N/A,N/A,N/A
ConfigMap,monitoring/kube-root-ca.crt,"[{'Text': 'ConfigMap kube-root-ca.crt is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap kube-root-ca.crt is not used by any pods in the namespace.
Solution:

1. Check if the ConfigMap is correctly created and has a valid name.
2. Verify that the pod's deployment YAML file references the ConfigMap correctly.
3. Ensure the pod's service account has access to the ConfigMap.
4. Run `kubectl get cm kube-root-ca.crt -o yaml` to inspect the ConfigMap.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-alertmanager-overview,"[{'Text': 'ConfigMap monitoring-alertmanager-overview is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap monitoring-alertmanager-overview is not used by any pods in the namespace.

Solution:

1. Check if the ConfigMap is created and has correct data.
2. Verify that the pod configuration references the ConfigMap correctly.
3. Ensure the pod is running and has access to the ConfigMap.
4. If still issues, try deleting and recreating the ConfigMap or pod.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-apiserver,"[{'Text': 'ConfigMap monitoring-apiserver is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-apiserver"" is not used by any pods in namespace, will be deleted.

Solution:

1. Run `kubectl get configmap monitoring-apiserver -n <namespace> --output=yaml` to view the ConfigMap.
2. Check if the ConfigMap is referenced in any Deployments or StatefulSets using `kubectl get deployments/statefulsets -n <namespace>`.
3. If not used, delete the ConfigMap with `kubectl delete configmap monitoring-apiserver -n <namespace>`.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-cluster-total,"[{'Text': 'ConfigMap monitoring-cluster-total is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap 'monitoring-cluster-total' is not used by any pods in the namespace.

Solution:

1. Check if the ConfigMap is created correctly.
2. Verify that the pod configuration references the ConfigMap.
3. If using a Deployment, check if the ConfigMap is mounted as a volume.
4. If none of the above steps resolve the issue, try deleting and recreating the ConfigMap or the pod.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-controller-manager,"[{'Text': 'ConfigMap monitoring-controller-manager is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap monitoring-controller-manager is not used by any pods in the namespace.

Solution:

1. Check if the ConfigMap is referenced in a Deployment or StatefulSet.
2. Verify that the ConfigMap is created and has correct data.
3. If using a Deployment, check if the `configMapRef` field is correctly set.
4. Try deleting and recreating the ConfigMap to refresh its reference.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-etcd,"[{'Text': 'ConfigMap monitoring-etcd is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-etcd"" is not used by any pods in the namespace.

Solution:

1. Check if the ConfigMap is created and exists in the cluster.
2. Verify that the pod specification uses the correct ConfigMap name and namespace.
3. Ensure the pod is running and has a valid configuration file referencing the ConfigMap.
4. If using Helm, check if the release is properly installed and configured.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-grafana-datasource,"[{'Text': 'ConfigMap monitoring-grafana-datasource is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap monitoring-grafana-datasource is not used by any pods in the namespace.
Solution: 
1. Check if the ConfigMap is referenced in a Deployment or StatefulSet YAML file.
2. Verify that the ConfigMap name matches exactly in the YAML file.
3. If still not found, try to delete and recreate the ConfigMap.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-grafana-overview,"[{'Text': 'ConfigMap monitoring-grafana-overview is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap monitoring-grafana-overview is not used by any pods in the namespace.

Solution:

1. Check if the ConfigMap is referenced in a Deployment or StatefulSet.
2. Verify that the ConfigMap name and namespace are correct.
3. If using a YAML file, check for typos or incorrect indentation.
4. Run `kubectl get cm monitoring-grafana-overview -o yaml` to inspect the ConfigMap's contents.
5. Update or recreate the pod referencing the ConfigMap if necessary.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-k8s-coredns,"[{'Text': 'ConfigMap monitoring-k8s-coredns is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap monitoring-k8s-coredns is not used by any pods in the namespace.

Solution: 
1. Check if the ConfigMap is referenced in a Deployment or StatefulSet.
2. Verify that the ConfigMap name and namespace are correct.
3. If using a YAML file, check for typos or incorrect indentation.
4. Run `kubectl get cm monitoring-k8s-coredns -o yaml` to inspect the ConfigMap.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-k8s-resources-cluster,"[{'Text': 'ConfigMap monitoring-k8s-resources-cluster is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap monitoring-k8s-resources-cluster is not used by any pods in the namespace.

Solution:

1. Check if the ConfigMap is referenced in a Deployment or StatefulSet.
2. Verify that the ConfigMap name and namespace are correct.
3. If using Helm, check if the ConfigMap is being created correctly.
4. Delete the unused ConfigMap to free up resources.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-k8s-resources-multicluster,"[{'Text': 'ConfigMap monitoring-k8s-resources-multicluster is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-k8s-resources-multicluster"" is not used by any pods in namespace.

Solution: 
1. Check if ConfigMap is referenced in Deployment or StatefulSet YAML files.
2. Verify if the ConfigMap name is correct and matches the one in the YAML files.
3. If using a multicluster setup, ensure the ConfigMap is synced across clusters.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-k8s-resources-namespace,"[{'Text': 'ConfigMap monitoring-k8s-resources-namespace is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-k8s-resources-namespace"" is not used by any pods in namespace.

Solution:

1. Check if ConfigMap is referenced in Deployment or StatefulSet YAML files.
2. Verify that the ConfigMap is correctly created and exists in the namespace.
3. If no references found, delete unused ConfigMap to avoid clutter.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-k8s-resources-node,"[{'Text': 'ConfigMap monitoring-k8s-resources-node is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-k8s-resources-node"" is not used by any pods in namespace.

Solution:

1. Check if the ConfigMap is referenced in a Deployment or StatefulSet YAML file.
2. Verify that the ConfigMap is correctly created and has a valid name.
3. If using Helm, check if the ConfigMap is properly templated and deployed.
4. Use `kubectl get cm monitoring-k8s-resources-node -o yaml` to inspect the ConfigMap configuration.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-k8s-resources-pod,"[{'Text': 'ConfigMap monitoring-k8s-resources-pod is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap monitoring-k8s-resources-pod is not used by any pods in the namespace.

Solution: 
1. Check if the ConfigMap is referenced in a Deployment or Pod YAML file.
2. Verify that the namespace and pod names match exactly.
3. If no reference found, update the ConfigMap to be used by a pod or delete it if unnecessary.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-k8s-resources-workload,"[{'Text': 'ConfigMap monitoring-k8s-resources-workload is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-k8s-resources-workload"" is not used by any pods in namespace.

Solution: 
1. Check if ConfigMap is referenced in Deployment or StatefulSet YAML files.
2. Verify that the ConfigMap name matches in both YAML and pod definition.
3. If still issues, delete the ConfigMap and recreate it.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-k8s-resources-workloads-namespace,"[{'Text': 'ConfigMap monitoring-k8s-resources-workloads-namespace is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap monitoring-k8s-resources-workloads-namespace is not used by any pods in the namespace.
Solution: 
1. Check if the ConfigMap is correctly created and deployed.
2. Verify that the pods are using the correct namespace for the ConfigMap.
3. Update the pod's configuration to reference the ConfigMap.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-kubelet,"[{'Text': 'ConfigMap monitoring-kubelet is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-kubelet"" is not used by any pods in namespace, will be deleted.

Solution:

1. Check if ConfigMap is referenced in a Deployment or StatefulSet.
2. If not, delete the ConfigMap using `kubectl delete configmap monitoring-kubelet`.
3. Verify deletion with `kubectl get configmaps`.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-namespace-by-pod,"[{'Text': 'ConfigMap monitoring-namespace-by-pod is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-namespace-by-pod"" is not used by any pods in namespace, causing it to be deleted.

Solution: 
1. Check if the ConfigMap is referenced in a Deployment or StatefulSet.
2. Verify the ConfigMap name and namespace are correct.
3. If unused, delete the ConfigMap using `kubectl delete cm monitoring-namespace-by-pod`.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-namespace-by-workload,"[{'Text': 'ConfigMap monitoring-namespace-by-workload is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-namespace-by-workload"" is not used by any pods in namespace.

Solution:

1. Check if ConfigMap is created correctly.
2. Verify that pods are using the correct ConfigMap name.
3. If no pods use it, delete the unused ConfigMap to free resources.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-node-cluster-rsrc-use,"[{'Text': 'ConfigMap monitoring-node-cluster-rsrc-use is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap monitoring-node-cluster-rsrc-use is not used by any pods in the namespace.

Solution:

1. Check if the ConfigMap is referenced in a Deployment or StatefulSet YAML file.
2. Verify that the ConfigMap name and namespace match the ones defined in the pod's configuration.
3. If using a Helm chart, check if the ConfigMap is included in the values.yaml file.
4. Delete unused ConfigMaps to declutter resources.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-node-rsrc-use,"[{'Text': 'ConfigMap monitoring-node-rsrc-use is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-node-rsrc-use"" is not used by any pods in namespace.

Solution:

1. Check if ConfigMap is referenced in Deployment or StatefulSet YAML files.
2. Verify that the ConfigMap is correctly created and exists in the namespace.
3. If unused, consider deleting the ConfigMap to free resources.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-nodes,"[{'Text': 'ConfigMap monitoring-nodes is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-nodes"" is not used by any pods in namespace.

Solution:

1. Check if the ConfigMap is referenced in pod templates or deployments.
2. Verify that the ConfigMap is correctly created and exists in the namespace.
3. If using a Deployment, check the `spec.template.spec.containers.env` section for references to the ConfigMap.
4. Update or recreate pods/deployments to use the ConfigMap if necessary.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-nodes-aix,"[{'Text': 'ConfigMap monitoring-nodes-aix is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-nodes-aix"" is not used by any pods in namespace, will be deleted on next node update.

Solution:

1. Verify if the ConfigMap is referenced in any Deployment or StatefulSet.
2. If not, delete the unused ConfigMap with `kubectl delete configmap monitoring-nodes-aix`.
3. Optional: Remove the ConfigMap from your Kubernetes configuration files (e.g., `kustomization.yaml`).",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-nodes-darwin,"[{'Text': 'ConfigMap monitoring-nodes-darwin is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-nodes-darwin"" is not used by any pods in namespace.

Solution:

1. Check if the ConfigMap is referenced in a Deployment or StatefulSet YAML file.
2. Verify that the ConfigMap name and namespace match in the YAML file.
3. If using Helm, check if the ConfigMap is being created by a Chart.
4. Delete unused ConfigMaps to declutter the cluster.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-persistentvolumesusage,"[{'Text': 'ConfigMap monitoring-persistentvolumesusage is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-persistentvolumesusage"" is not used by any pods in the namespace.

Solution: 
1. Check if the ConfigMap is correctly created and exists.
2. Verify that the pod(s) using this ConfigMap are running and have the correct configuration.
3. If no pods use the ConfigMap, consider deleting it to avoid cluttering the cluster.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-pod-total,"[{'Text': 'ConfigMap monitoring-pod-total is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap monitoring-pod-total is not used by any pods in the namespace.

Solution:

1. Check if the ConfigMap is created correctly.
2. Verify that the pod's configuration file references the ConfigMap.
3. Ensure the pod is running and has a valid configuration.
4. If still issues, delete the ConfigMap and recreate it.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-prometheus,"[{'Text': 'ConfigMap monitoring-prometheus is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap monitoring-prometheus is not used by any pods in the namespace.

Solution:

1. Check if the ConfigMap is referenced in a Deployment or StatefulSet YAML file.
2. Verify that the ConfigMap name and namespace are correct.
3. If using Helm, check if the ConfigMap is installed as a dependency.
4. Create a new pod referencing the ConfigMap to test its usage.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-proxy,"[{'Text': 'ConfigMap monitoring-proxy is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-proxy"" is not used by any pods in namespace, may be deleted.

Solution:

1. Check if the ConfigMap is still needed.
2. If not, delete it using `kubectl delete configmap monitoring-proxy`.
3. Verify deletion with `kubectl get configmaps`.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-scheduler,"[{'Text': 'ConfigMap monitoring-scheduler is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-scheduler"" is not used by any pods in namespace, indicating it may be safely deleted.

Solution:

1. Verify no pods are referencing the ConfigMap.
2. Delete the ConfigMap using `kubectl delete configmap monitoring-scheduler`.
3. If needed, recreate the ConfigMap with updated data or configuration.",,N/A,N/A,N/A
ConfigMap,monitoring/monitoring-workload-total,"[{'Text': 'ConfigMap monitoring-workload-total is not used by any pods in the namespace', 'KubernetesDoc': '', 'Sensitive': []}]","Error: ConfigMap ""monitoring-workload-total"" is not used by any pods in the namespace.

Solution: 
1. Check if the ConfigMap is correctly created and deployed.
2. Verify that the pod's configuration file references the ConfigMap.
3. If using a Deployment, check the `spec.template.spec.containers.volumeMounts` section for the ConfigMap reference.
4. Update or recreate the pod to use the ConfigMap.",,N/A,N/A,N/A
